team,team_id,season_id,shirt_number,player_name,player_id,position,age,nationalities,contract_until,market_value,market_value_eur,player_url,market_value_percentile_within_team
Borussia Dortmund,16,2026,31.0,Silas Ostrzinski,684116,Goalkeeper,22,Germany,30/06/2027,€200k,200000.0,https://www.transfermarkt.com/silas-ostrzinski/profil/spieler/684116,5.36
Borussia Mönchengladbach,18,2026,36.0,Wael Mohya,1070979,Attacking Midfield,17,Germany|Morocco,,€17.00m,17000000.0,https://www.transfermarkt.com/wael-mohya/profil/spieler/1070979,100.0
Borussia Mönchengladbach,18,2026,17.0,Jens Castrop,613192,Central Midfield,23,"Korea, South|Germany",30/06/2029,€10.00m,10000000.0,https://www.transfermarkt.com/jens-castrop/profil/spieler/613192,96.55
Borussia Mönchengladbach,18,2026,1.0,Moritz Nicolas,284270,Goalkeeper,28,Germany,30/06/2029,€8.00m,8000000.0,https://www.transfermarkt.com/moritz-nicolas/profil/spieler/284270,89.66
Borussia Mönchengladbach,18,2026,30.0,Nico Elvedi,192635,Centre-Back,29,Switzerland,30/06/2027,€8.00m,8000000.0,https://www.transfermarkt.com/nico-elvedi/profil/spieler/192635,89.66
Borussia Mönchengladbach,18,2026,11.0,Tim Kleindienst,193033,Centre-Forward,30,Germany,30/06/2029,€8.00m,8000000.0,https://www.transfermarkt.com/tim-kleindienst/profil/spieler/193033,89.66
Borussia Mönchengladbach,18,2026,9.0,Franck Honorat,229006,Right Winger,30,France,30/06/2029,€7.00m,7000000.0,https://www.transfermarkt.com/franck-honorat/profil/spieler/229006,79.31
Borussia Mönchengladbach,18,2026,29.0,Joe Scally,504153,Right-Back,23,United States,30/06/2027,€7.00m,7000000.0,https://www.transfermarkt.com/joe-scally/profil/spieler/504153,79.31
Borussia Mönchengladbach,18,2026,25.0,Robin Hack,284010,Left Winger,27,Germany,30/06/2029,€7.00m,7000000.0,https://www.transfermarkt.com/robin-hack/profil/spieler/284010,79.31
Borussia Mönchengladbach,18,2026,38.0,Hugo Bolin,667251,Left Winger,23,Sweden,30/06/2030,€6.00m,6000000.0,https://www.transfermarkt.com/hugo-bolin/profil/spieler/667251,70.69
Borussia Mönchengladbach,18,2026,26.0,Lukas Ullrich,787151,Left-Back,22,Germany,30/06/2029,€6.00m,6000000.0,https://www.transfermarkt.com/lukas-ullrich/profil/spieler/787151,70.69
Borussia Mönchengladbach,18,2026,3.0,Isac Lidberg,322073,Centre-Forward,27,Sweden,30/06/2030,€5.00m,5000000.0,https://www.transfermarkt.com/isac-lidberg/profil/spieler/322073,62.07
Borussia Mönchengladbach,18,2026,4.0,Kevin Diks,335209,Centre-Back,29,Indonesia|Netherlands,30/06/2030,€5.00m,5000000.0,https://www.transfermarkt.com/kevin-diks/profil/spieler/335209,62.07
Borussia Mönchengladbach,18,2026,22.0,Yukhym Konoplya,467250,Right-Back,26,Ukraine,30/06/2029,€5.00m,5000000.0,https://www.transfermarkt.com/yukhym-konoplya/profil/spieler/467250,62.07
Borussia Mönchengladbach,18,2026,20.0,David Herold,604358,Left-Back,23,Germany,30/06/2030,€4.00m,4000000.0,https://www.transfermarkt.com/david-herold/profil/spieler/604358,50.0
Borussia Mönchengladbach,18,2026,8.0,Enzo Leopold,383362,Central Midfield,26,Germany,30/06/2030,€4.00m,4000000.0,https://www.transfermarkt.com/enzo-leopold/profil/spieler/383362,50.0
